item_id,penman_notation
B.1,"# ::tok Taste that fowl and those fish .
(t / taste-01~0
    :ARG0 (y / you~0)
    :ARG1 (a / and~3
        :op1 (f2 / fowl~2
            :mod (t2 / that~1))
        :op2 (f / fish~5
            :mod t2))
    :mode imperative~0)
"
B.2,"# ::tok All sorts of treasure there too .
(t3 / treasure~3
    :location (t / there~4)
    :mod (s / sort~1
        :mod (a / all~0))
    :mod (t2 / too~5))
"
B.3,"# ::tok The small flock of birds circled .
(c / circle-01~5
    :ARG0 (f / flock~2
        :consist-of (b / bird~4)
        :mod (s / small~1)))
"
B.4,"# ::tok The music drums inside my head .
(d / drum~2
    :domain (m / music~1)
    :location (i2 / inside~3
        :op1 (h / head~5
            :part-of (i / i~4))))
"
B.5,"# ::tok They are very devoted and faithful .
(a / and~4
    :op1 (d / devote-01~3
        :ARG1 (t / they~0)
        :degree (v / very~2))
    :op2 (f / faithful~5
        :degree v
        :domain t))
"
B.6,"# ::tok What an amazing and wonderful metamorphosis .
(m / metamorphose-01~5
    :ARG0-of (a / amaze-01~2
        :degree (s / so~0))
    :ARG1-of (w / wonderful-03~4
        :degree s))
"
B.7,"# ::tok She began to worry about infection .
(b / begin-01~1
    :ARG0 (s / she~0)
    :ARG1 (w / worry-02~3
        :ARG0 s
        :ARG1 (i / infect-01~5
            :ARG1 s)))
"
B.8,"# ::tok It has a light tangy flavor .
(f / flavor~5
    :ARG1-of (l / light-06~3)
    :domain (i / it~0)
    :mod (t / tangy~4))
"
B.9,"# ::tok We love rich tourists on vacation .
(l / love-01~1
    :ARG0 (w / we~0)
    :ARG1 (p / person~3
        :ARG0-of (t / tour-01~3)
        :ARG0-of (v / vacation-01~5)
        :mod (r / rich~2)))
"
B.10,"# ::tok Across the street was a pub .
(p / pub~5
    :location (a / across~0
        :op1 (s / street~2)))
"
B.11,"# ::tok Would she put him in jail ?
(p / put-01~2
    :ARG0 (s / she~1)
    :ARG1 (h / he~3)
    :ARG2 (j / jail~5)
    :polarity (a / amr-unknown~6))
"
B.12,"# ::tok Where are you keeping it safe ?
(k / keep-01~3
    :ARG0 (y / you~2)
    :ARG1 (i / it~4)
    :ARG3 (s / safe-01~5
        :ARG1 i)
    :location (a / amr-unknown~0))
"
B.13,"# ::tok It was all ridiculous , crazy , insane .
(a2 / and~4
    :op1 (r / ridiculous-02~3
        :ARG1 (i2 / it~0
            :mod (a / all~2)))
    :op2 (c / crazy-03~5
        :ARG1 i2)
    :op3 (i / insane~7
        :domain i2))
"
B.14,"# ::tok A childish notion , to be sure .
(n / notion~2
    :mod (c / childish~1)
    :mod (t / to-be-sure~5))
"
B.15,"# ::tok Sophia was asleep on the sofa .
(s / sleep-01~2
    :ARG0 (p / person~0
        :name (n / name~0
            :op1 ""Sophia""~0))
    :location (s2 / sofa~5))
"
B.16,"# ::tok Her answer was difficult to grasp .
(d / difficult~3
    :domain (g / grasp-01~5
        :ARG1 (t / thing~1
            :ARG2-of (a / answer-01~1
                :ARG0 (s / she~0)))))
"
B.17,"# ::tok It meant waving a white flag .
(m / mean-01~1
    :ARG1 (i / it~0)
    :ARG2 (w / wave-01~2
        :ARG1 (f / flag~5
            :ARG1-of (w2 / white-03~4))))
"
B.18,"# ::tok The crowd burst into spontaneous applause .
(b / burst-01~2
    :ARG1 (c / crowd~1)
    :ARG2 (a / applaud-01~5
        :ARG0 c
        :mod (s / spontaneous~4)))
"
B.19,"# ::tok His leg is too badly damaged .
(d / damage-01~5
    :ARG1 (l / leg~1
        :part-of (h2 / he~0))
    :ARG1-of (h / have-degree-91~3
        :ARG2 (b / bad-05~4
            :ARG1 d)
        :ARG3 (t / too~3)))
"
B.20,"# ::tok He treated them like puppy dogs .
(t2 / treat-01~1
    :ARG0 (h / he~0)
    :ARG1 (t / they~2)
    :ARG2 (d / dog~5
        :mod (p / puppy~4)))
"
B.21,"# ::tok It looked like a trash heap .
(l / look-02~1
    :ARG0 (i / it~0)
    :ARG1 (h / heap~5
        :consist-of (t / trash~4)))
"
B.22,"# ::tok A car drove down the road .
(d2 / drive-01~2
    :ARG0 (c / car~1)
    :ARG1 (r / road~5)
    :direction (d / down~3))
"
B.23,"# ::tok People are getting hungry and desperate .
(g / get-03~2
    :ARG1 (p / person~0)
    :ARG2 (a / and~4
        :op1 (h / hunger-01~3
            :ARG0 p)
        :op2 (d / despair-01~5
            :ARG0 p)))
"
B.24,"# ::tok He held out a duffel bag .
(h2 / hold-01~1
    :ARG0 (h / he~0)
    :ARG1 (b / bag~5
        :mod (d / duffel~4))
    :direction (o / out~2))
"
B.25,"# ::tok The movie was entertaining and funny .
(a / and~4
    :op1 (e / entertain-01~3
        :ARG0 (m / movie~1))
    :op2 (f / funny-02~5
        :ARG1 m))
"
B.26,"# ::tok Everyone finished eating every delicious bite .
(f / finish-01~1
    :ARG0 (e3 / everyone~0)
    :ARG1 (e / eat-01~2
        :ARG0 e3
        :ARG1 (b / bite~5
            :mod (d / delicious~4)
            :mod (e2 / every~3))))
"
B.27,"# ::tok He took another sip of beer .
(s / sip-01~3
    :ARG0 (h / he~0)
    :ARG1 (b / beer~5)
    :mod (a / another~2))
"
B.28,"# ::tok The last time we 'd had four .
(h / have-03~5
    :ARG0 (w / we~3)
    :ARG1 (t / thing~7
        :quant 4~6)
    :time (l / last~1))
"
B.29,"# ::tok Would she not regret this marriage ?
(r / regret-01~3
    :ARG0 (s / she~1)
    :ARG1 (m / marry-01~5
        :mod (t / this~4))
    :polarity -~2
    :polarity (a / amr-unknown~6))
"
B.30,"# ::tok Grace and kindness was their strength .
(s / strengthen-01~5
    :ARG0 (a / and~1
        :op1 (g / grant-01~0)
        :op2 (k / kind-01~2))
    :ARG1 (t / they~4))
"
B.31,"# ::tok He could smell the cooking meat .
(p / possible-01~1
    :ARG1 (s / smell-01~2
        :ARG0 (h / he~0)
        :ARG1 (m / meat~5
            :ARG1-of (c / cook-01~4))))
"
B.32,"# ::tok In a way it seemed pointless .
(s / seem-01~4
    :ARG1 (p / point-03~5
        :ARG1 (i / it~3)
        :polarity -~5)
    :manner (w / way~2))
"
B.33,"# ::tok Another dance is about to begin .
(b / begin-01~5
    :ARG1 (d / dance-01~1
        :mod (a2 / another~0))
    :time (a / about-to~3))
"
